Water,Nước,Nước
Tea,Trà,Trà
Coffee,Cà phê,Cà phê
Juice,Nước trái cây,Nước được ép tù trái câu
Soda,Nước có ga,Nước có ga
Milk,Sữa,Sữa 
Smoothie,Sinh tố trái cây,Sinh tố trái cây
Beer,Bia,Nước lúa mạch lên men
Wine,Rượu,Nước lên men từ trái cây
Cocktail,Nước pha chê,Hỗn hợp pha chế từ các loại rượu
Lemonade,Nước chanh,Nước chanh
Hot Chôclate,Sô cô la nóng,Sữa sô cô la nóng
Energy drink,Nước tăng lực,Nước tăng lực
Milkshake,Sữa lắc,Sữa lắc
Sparkling water,Nước khoáng có ga,Nước khoáng có ga
Distilled water,Nước cất,Nước cất
Mineral water,Nước khoáng,Nước khoáng
Espresso,Cà phê phin,Cà phê phin
Latte,Cà phê sữa,Espresso với sữa tươi
Vodka,Rượu Vodka,Một loại rượu từ Nga
