Apple,Quả táo,Quả táo
Banana,Quả chuối,Quả chuối
Orange,Quả cam,Quả cam
Strawberry,Quả dâu,Quả dâu
Grape,Nho,Nho
Fried Chịcken, Gà rán,Một món chiên làm từ gà
Fried Fries,Khoai tây chiên,Một món chiên làm từ khoai
Hamburger,Bánh mì kẹp thịt,Bánh mì kẹp thịt
Noodle,Mì ,Mì
Pho,Phở,Đặc sản Việt Nam
Banh Mi,Bánh mì,Bánh mì Việt Nam
Avocado,Trái bơ,Trái bơ
Ice Cream,Kem,Một món ăn làm từ sữa đông lạnh
Pizza,Bánh pizza,Một món ăn của Ý
Rice,Gạo,Gạo
Grilled Cheese,Bánh mì phô mai,Bánh mì nướng phô mai
Hotpot,Lẩu,Lẩu
Sushi,Cơm cuôn,Ẩm thực Nhật Bản
Ramen,Mì Ramen,Một loại mì nhật bản
Pineapple,Trái dứa,Trái dứa
